image,best_DEM,same_DEM,version,split,disaster,country
hurricane-florence_00000048,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000472,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000080,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000088,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000259,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000436,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000461,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000186,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000478,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000055,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000114,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000462,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000494,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000468,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000523,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000171,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000481,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000018,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000111,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000480,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000465,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000149,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000220,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000488,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000216,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000452,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000210,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000078,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000052,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000381,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000503,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000433,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000072,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000267,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000112,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000127,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000124,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000100,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000390,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000475,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000101,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000132,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000126,10m,10m,original,train,hurricane-florence,usa
hurricane-florence_00000150,10m,10m,original,train,hurricane-florence,usa
