image,disaster,pre_date,post_date,date_difference,days_difference,x_min,y_min,x_max,y_max,x_max_extended,polygon
hurricane-florence_00000018,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.87934564010756,34.59248012024815,-77.87464152472491,34.5971842356308,-77.87264152472491,"POLYGON ((-77.87934564010756 34.59248012024815, -77.87934564010756 34.5971842356308, -77.87464152472491 34.5971842356308, -77.87464152472491 34.59248012024815"
hurricane-florence_00000022,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.8847349311878,34.60079012685002,-77.88003048960026,34.60549456843756,-77.87803048960026,"POLYGON ((-77.8847349311878 34.60079012685002, -77.8847349311878 34.60549456843756, -77.88003048960026 34.60549456843756, -77.88003048960026 34.60079012685002"
hurricane-florence_00000029,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.87453875798877,34.60103059478163,-77.86983436763337,34.60573498513703,-77.86783436763338,"POLYGON ((-77.87453875798877 34.60103059478163, -77.87453875798877 34.60573498513703, -77.86983436763337 34.60573498513703, -77.86983436763337 34.60103059478163"
hurricane-florence_00000034,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.87992820030955,34.60934080004604,-77.87522348356993,34.61404551678566,-77.87322348356993,"POLYGON ((-77.87992820030955 34.60934080004604, -77.87992820030955 34.61404551678566, -77.87522348356993 34.61404551678566, -77.87522348356993 34.60934080004604"
hurricane-florence_00000035,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.87482958453131,34.609460965324956,-77.87012489346039,34.61416565639588,-77.86812489346039,"POLYGON ((-77.87482958453131 34.609460965324956, -77.87482958453131 34.61416565639588, -77.87012489346039 34.61416565639588, -77.87012489346039 34.609460965324956"
hurricane-florence_00000048,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.88822711371135,34.55430290816084,-77.88352429849306,34.55900572337914,-77.88152429849306,"POLYGON ((-77.88822711371135 34.55430290816084, -77.88822711371135 34.55900572337914, -77.88352429849306 34.55900572337914, -77.88352429849306 34.55430290816084"
hurricane-florence_00000049,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.87920007566198,34.588264941576305,-77.87449611052821,34.59296890671007,-77.87249611052822,"POLYGON ((-77.87920007566198 34.588264941576305, -77.87920007566198 34.59296890671007, -77.87449611052821 34.59296890671007, -77.87449611052821 34.588264941576305"
hurricane-florence_00000050,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.89361451556255,34.56261264705661,-77.8889113749468,34.567315787672364,-77.8869113749468,"POLYGON ((-77.89361451556255 34.56261264705661, -77.89361451556255 34.567315787672364, -77.8889113749468 34.567315787672364, -77.8889113749468 34.56261264705661"
hurricane-florence_00000051,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.8741027446212,34.58838501281199,-77.86939880506797,34.593088952365214,-77.86739880506798,"POLYGON ((-77.8741027446212 34.58838501281199, -77.8741027446212 34.593088952365214, -77.86939880506797 34.593088952365214, -77.86939880506797 34.58838501281199"
hurricane-florence_00000052,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.88313189589879,34.55442325352907,-77.878429106051,34.559126043376864,-77.876429106051,"POLYGON ((-77.88313189589879 34.55442325352907, -77.88313189589879 34.559126043376864, -77.878429106051 34.559126043376864, -77.878429106051 34.55442325352907"
hurricane-florence_00000055,hurricane-florence,2018-04-06 15:49:36+00:00,2018-09-20 16:04:41+00:00,167 days 00:15:05,167,-77.87803664785238,34.55454338664706,-77.87333388340977,34.55924615108967,-77.87133388340978,"POLYGON ((-77.87803664785238 34.55454338664706, -77.87803664785238 34.55924615108967, -77.87333388340977 34.55924615108967, -77.87333388340977 34.55454338664706"
