image,split,version,country
original_hurricane-florence_00000185_1.tif,train,original,usa
generate_Pix2Pix_hurricane-florence_00000089_1.tif,train,original,usa
original_hurricane-harvey_00000070_2.tif,train,original,usa
generate_Pix2Pix_hurricane-harvey_00000217_0.tif,train,original,usa
original_hurricane-harvey_00000520_1.tif,train,original,usa
original_hurricane-harvey_00000329_1.tif,train,original,usa
original_hurricane-harvey_00000151_2.tif,train,original,usa
original_hurricane-florence_00000048_3.tif,train,original,usa
generate_AttentionGAN_hurricane-harvey_00000259_2.tif,train,original,usa
generate_CycleGAN_hurricane-harvey_00000217_2.tif,train,original,usa
generate_AttentionGAN_hurricane-florence_00000166_0.tif,train,original,usa
generate_PairedAttention_midwest-flooding_00000178_0.tif,train,original,usa
generate_AttentionGAN_hurricane-harvey_00000136_1.tif,train,original,usa
original_hurricane-harvey_00000521_0.tif,train,original,usa
generate_Pix2Pix_hurricane-harvey_00000325_3.tif,train,original,usa
original_hurricane-harvey_00000050_1.tif,train,original,usa
generate_AttentionGAN_midwest-flooding_00000391_1.tif,train,original,usa
generate_CycleGAN_hurricane-harvey_00000279_1.tif,train,original,usa
generate_Pix2Pix_hurricane-harvey_00000301_0.tif,train,original,usa
original_hurricane-florence_00000018_3.tif,train,original,usa
generate_PairedAttention_hurricane-florence_00000146_0.tif,train,original,usa
original_hurricane-harvey_00000381_0.tif,train,original,usa
original_hurricane-harvey_00000363_1.tif,train,original,usa
generate_PairedAttention_midwest-flooding_00000332_3.tif,train,original,usa
generate_PairedAttention_hurricane-harvey_00000111_2.tif,train,original,usa
original_hurricane-florence_000000009_0.tif,train,original,usa
original_hurricane-harvey_00000325_0.tif,train,original,usa
original_hurricane-florence_00000416_1.tif,train,original,usa
generate_Pix2Pix_hurricane-florence_00000102_3.tif,train,original,usa
original_hurricane-florence_00000065_3.tif,train,original,usa
original_hurricane-florence_00000051_3.tif,train,original,usa
original_hurricane-harvey_00000075_1.tif,train,original,usa
generate_CycleGAN_hurricane-florence_00000153_3.tif,train,original,usa
generate_Pix2Pix_hurricane-harvey_00000219_1.tif,train,original,usa
generate_CycleGAN_hurricane-harvey_00000285_3.tif,train,original,usa
original_hurricane-harvey_00000446_2.tif,train,original,usa
generate_PairedAttention_hurricane-harvey_00000447_2.tif,train,original,usa
generate_AttentionGAN_hurricane-florence_00000162_0.tif,train,original,usa
original_hurricane-florence_00000185_3.tif,train,original,usa
original_hurricane-harvey_00000169_1.tif,train,original,usa
generate_CycleGAN_hurricane-florence_00000142_2.tif,train,original,usa
generate_PairedAttention_hurricane-harvey_00000113_1.tif,train,original,usa
generate_PairedAttention_hurricane-florence_00000431_2.tif,train,original,usa
original_hurricane-florence_00000146_2.tif,train,original,usa
original_hurricane-florence_00000254_0.tif,train,original,usa
generate_PairedAttention_hurricane-florence_00000450_2.tif,train,original,usa
original_hurricane-florence_00000002_1.tif,train,original,usa
original_hurricane-harvey_00000082_2.tif,train,original,usa
generate_CycleGAN_midwest-flooding_00000182_2.tif,train,original,usa
original_hurricane-harvey_00000519_1.tif,train,original,usa
original_hurricane-harvey_00000070_3.tif,train,original,usa
original_hurricane-florence_00000048_1.tif,train,original,usa
generate_PairedAttention_hurricane-harvey_00000316_1.tif,train,original,usa
original_midwest-flooding_00000268_3.tif,train,original,usa
generate_CycleGAN_hurricane-harvey_00000077_1.tif,train,original,usa
original_hurricane-florence_00000381_3.tif,train,original,usa
generate_Pix2Pix_hurricane-harvey_00000136_0.tif,train,original,usa
original_hurricane-florence_00000540_3.tif,train,original,usa
original_hurricane-harvey_000000050_0.tif,train,original,usa
original_hurricane-florence_00000545_1.tif,train,original,usa
generate_AttentionGAN_hurricane-harvey_00000198_0.tif,train,original,usa
generate_PairedAttention_hurricane-florence_00000142_0.tif,train,original,usa
generate_AttentionGAN_midwest-flooding_00000429_1.tif,train,original,usa
original_hurricane-florence_00000362_2.tif,train,original,usa
generate_Pix2Pix_hurricane-harvey_00000408_1.tif,train,original,usa
